c TIGER/Line graph USA-road-d.NY
a 20 88 564
a 20 90 981
a 20 94 403
a 20 97 413
a 20 98 182
a 20 100 692
a 21 22 526
a 21 23 115
a 21 25 554
a 21 29 477
a 21 30 491
a 21 34 13
a 21 36 504
a 21 37 870
a 21 39 765
a 21 43 579
a 21 44 447
a 21 47 845
a 21 49 571
a 21 51 876
a 21 52 590
a 21 53 974
a 21 55 805
a 21 56 493
a 21 59 278
a 21 60 365
a 21 61 361
a 21 62 592
a 21 64 809
a 21 69 399
a 21 72 420
a 21 74 372
a 21 76 731
a 21 77 174
a 21 78 137
a 21 79 912
a 21 80 217
a 21 84 14
a 21 85 378
a 21 86 122
a 21 88 490
a 21 89 220
a 21 90 134
a 21 91 993
a 21 92 89
a 21 93 251
a 21 94 572
a 21 96 536
a 21 97 447
a 21 98 142
a 21 99 763
a 22 23 36
a 22 26 115
a 22 27 567
a 22 30 528
a 22 37 744
a 22 38 932
a 22 39 888
a 22 41 335
a 22 42 740
a 22 43 638
a 22 47 106
a 22 51 463
a 22 52 369
a 22 53 631
a 22 55 599
a 22 56 632
a 22 58 200
a 22 59 612
a 22 62 362
a 22 65 321
a 22 66 454
a 22 68 581
a 22 70 807
a 22 71 446
a 22 72 670
a 22 75 57
a 22 77 369
a 22 79 557
a 22 80 503
a 22 81 510
a 22 85 319
a 22 87 538
a 22 88 976
a 22 89 237
a 22 91 417
a 22 92 71
a 22 95 168
a 22 96 656
a 22 97 757
a 22 98 259
a 22 100 293
a 23 25 214
a 23 26 74
a 23 27 13
a 23 30 197
a 23 31 672
a 23 32 997
a 23 36 396
a 23 41 636
a 23 42 358
a 23 43 716
a 23 44 89
a 23 47 938
a 23 49 522
a 23 50 886
a 23 51 959
a 23 53 578
a 23 54 255
a 23 55 867
a 23 56 432
a 23 59 116
a 23 61 185
a 23 63 321
a 23 66 444
a 23 67 774
a 23 69 737
a 23 70 514
a 23 71 293
a 23 77 392
a 23 78 623
a 23 79 552
a 23 83 37
a 23 85 836
a 23 87 977
a 23 88 49
a 23 92 32
a 23 94 648
a 23 95 45
a 23 97 427
a 24 25 635
a 24 26 754
a 24 27 495
a 24 28 723
a 24 30 692
a 24 32 16
a 24 34 609
a 24 35 650
a 24 36 946
a 24 37 215
a 24 39 517
a 24 40 377
a 24 50 330
a 24 52 53
a 24 55 50
a 24 56 125
a 24 59 826
a 24 61 786
a 24 62 991
a 24 63 119
a 24 67 530
a 24 68 613
a 24 69 22
a 24 72 566
a 24 74 800
a 24 77 998
a 24 80 966
a 24 81 832
a 24 84 997
a 24 87 363
a 24 93 610
a 24 94 632
a 24 96 116
a 24 98 104
a 24 100 706
a 25 26 807
a 25 27 472
a 25 29 666
a 25 32 457
a 25 33 769
a 25 35 880
a 25 36 325
a 25 38 497
a 25 39 562
a 25 40 377
a 25 41 546
a 25 42 686
a 25 49 555
a 25 54 332
a 25 55 676
a 25 56 673
a 25 59 213
a 25 60 640
a 25 64 46
a 25 66 778
a 25 72 440
a 25 73 43
a 25 75 95
a 25 76 623
a 25 77 391
a 25 79 457
a 25 82 232
a 25 83 22
a 25 87 573
a 25 91 688
a 25 94 80
a 25 95 731
a 25 96 159
a 25 99 745
a 26 28 539
a 26 30 927
a 26 32 977
a 26 33 863
a 26 34 775
a 26 35 538
a 26 37 592
a 26 38 321
a 26 41 575
a 26 45 146
a 26 47 4
a 26 50 603
a 26 57 170
a 26 59 216
a 26 60 594
a 26 61 215
a 26 62 345
a 26 67 33
a 26 69 609
a 26 70 439
a 26 72 655
a 26 73 999
a 26 74 896
a 26 75 239
a 26 77 373
a 26 79 820
a 26 82 926
a 26 85 452
a 26 91 902
a 26 92 84
a 26 93 548
a 26 98 441
a 26 100 362
a 27 31 524
a 27 32 655
a 27 35 136
a 27 37 413
a 27 38 246
a 27 41 808
a 27 42 988
a 27 43 743
a 27 44 811
a 27 45 942
a 27 47 912
a 27 48 26
a 27 49 535
a 27 51 126
a 27 52 370
a 27 54 568
a 27 55 86
a 27 56 161
a 27 57 574
a 27 58 437
a 27 59 56
a 27 60 812
a 27 61 809
a 27 62 227
a 27 63 737
a 27 64 612
a 27 65 128
a 27 69 172
a 27 73 159
a 27 74 568
a 27 75 885
a 27 76 35
a 27 77 223
a 27 80 373
a 27 82 447
a 27 84 820
a 27 88 180
a 27 89 786
a 27 91 563
a 27 93 991
a 27 100 727
a 28 31 826
a 28 33 368
a 28 35 614
a 28 36 304
a 28 38 90
a 28 41 533
a 28 43 389
a 28 44 250
a 28 47 106
a 28 48 825
a 28 52 657
a 28 55 270
a 28 58 985
a 28 59 883
a 28 61 358
a 28 66 948
a 28 67 10
a 28 69 530
a 28 70 107
a 28 75 930
a 28 83 766
a 28 89 493
a 28 90 504
a 28 93 138
a 28 94 939
a 28 96 323
a 28 99 318
a 28 100 77
a 29 30 237
a 29 32 660
a 29 33 803
a 29 35 63
a 29 38 379
a 29 43 768
a 29 46 366
a 29 47 468
a 29 54 300
a 29 56 106
a 29 59 69
a 29 60 758
a 29 62 283
a 29 63 725
a 29 64 27
a 29 65 267
a 29 67 959
a 29 68 384
a 29 69 215
a 29 70 969
a 29 71 265
a 29 72 673
a 29 73 898
a 29 76 31
a 29 77 165
a 29 78 753
a 29 79 520
a 29 80 455
a 29 81 427
a 29 83 189
a 29 84 531
a 29 85 664
a 29 86 848
a 29 87 686
a 29 88 78
a 29 91 579
a 29 93 453
a 29 95 795
a 29 98 398
a 29 99 753
a 29 100 252
a 30 33 467
a 30 36 510
a 30 37 534
a 30 38 543
a 30 40 888
a 30 42 801
a 30 43 502
a 30 44 623
a 30 45 15
a 30 52 822
a 30 54 240
a 30 55 39
a 30 57 71
a 30 58 622
a 30 59 203
a 30 62 823
a 30 64 141
a 30 65 657
a 30 68 249
a 30 69 330
a 30 72 540
a 30 74 264
a 30 76 529
a 30 77 225
a 30 79 341
a 30 80 107
a 30 81 677
a 30 82 487
a 30 84 505
a 30 86 781
a 30 87 739
a 30 88 323
a 30 91 290
a 30 92 272
a 30 94 865
a 30 96 529
a 30 97 72
a 30 98 366
a 31 32 152
a 31 34 438
a 31 35 187
a 31 36 391
a 31 37 828
a 31 39 609
a 31 40 12
a 31 41 30
a 31 45 431
a 31 49 504
a 31 50 39
a 31 51 680
a 31 56 185
a 31 58 578
a 31 60 943
a 31 63 714
a 31 65 802
a 31 69 636
a 31 70 172
a 31 73 830
a 31 75 122
a 31 78 676
a 31 79 611
a 31 81 212
a 31 84 998
a 31 87 900
a 31 89 484
a 31 90 863
a 31 92 781
a 31 94 907
a 31 96 580
a 31 97 284
a 32 33 697
a 32 35 119
a 32 39 674
a 32 40 524
a 32 41 727
a 32 43 37
a 32 46 906
a 32 49 158
a 32 50 892
a 32 57 944
a 32 60 189
a 32 63 77
a 32 64 873
a 32 67 483
a 32 71 142
a 32 77 26
a 32 81 470
a 32 82 313
a 32 83 855
a 32 85 944
a 32 86 989
a 32 88 465
a 32 89 155
a 32 92 338
a 32 94 717
a 32 98 990
a 32 99 200
a 33 38 497
a 33 39 249
a 33 40 132
a 33 42 780
a 33 43 945
a 33 44 250
a 33 45 805
a 33 48 820
a 33 50 328
a 33 51 193
a 33 52 725
a 33 55 837
a 33 56 436
a 33 59 20
a 33 60 25
a 33 64 512
a 33 67 244
a 33 68 860
a 33 69 653
a 33 74 269
a 33 75 329
a 33 76 966
a 33 78 124
a 33 82 272
a 33 83 306
a 33 85 588
a 33 87 427
a 33 91 643
a 33 92 304
a 33 94 768
a 33 96 195
a 33 97 152
a 33 98 16
a 33 100 326
a 34 37 931
a 34 39 960
a 34 41 927
a 34 42 87
a 34 43 132
a 34 44 606
a 34 45 631
a 34 46 208
a 34 49 443
a 34 54 67
a 34 56 228
a 34 61 467
a 34 62 578
a 34 63 471
a 34 64 678
a 34 66 583
a 34 67 740
a 34 68 7
a 34 69 548
a 34 70 215
a 34 71 278
a 34 75 205
a 34 77 802
a 34 82 56
a 34 87 847
a 34 89 458
a 34 90 824
a 34 94 393
a 34 96 609
a 34 97 839
a 34 98 70
a 35 38 892
a 35 39 151
a 35 42 996
a 35 45 330
a 35 49 634
a 35 52 954
a 35 53 961
a 35 58 841
a 35 59 396
a 35 61 27
a 35 63 68
a 35 66 214
a 35 67 604
a 35 71 891
a 35 72 892
a 35 73 538
a 35 74 982
a 35 75 898
a 35 77 437
a 35 79 196
a 35 82 527
a 35 89 641
a 35 90 349
a 35 93 935
a 35 94 840
a 35 95 806
a 35 97 758
a 35 100 232
a 36 38 767
a 36 40 948
a 36 43 302
a 36 53 658
a 36 54 450
a 36 58 649
a 36 59 987
a 36 64 83
a 36 67 602
a 36 70 947
a 36 71 276
a 36 73 997
a 36 76 325
a 36 77 695
a 36 78 211
a 36 80 929
a 36 81 585
a 36 83 102
a 36 85 818
a 36 86 918
a 36 87 351
a 36 92 255
a 36 98 113
a 37 38 229
a 37 39 895
a 37 40 462
a 37 42 163
a 37 43 734
a 37 48 619
a 37 55 920
a 37 58 966
a 37 60 385
a 37 61 220
a 37 64 619
a 37 66 394
a 37 67 21
a 37 68 267
a 37 72 381
a 37 74 104
a 37 75 869
a 37 78 679
a 37 81 731
a 37 84 865
a 37 87 4
a 37 88 425
a 37 89 427
a 37 90 284
a 37 92 362
a 37 93 880
a 37 99 101
a 38 40 279
a 38 41 230
a 38 45 707
a 38 47 392
a 38 48 459
a 38 50 954
a 38 51 205
a 38 52 621
a 38 55 687
a 38 57 175
a 38 59 893
a 38 60 4
a 38 61 560
a 38 62 464
a 38 65 974
a 38 71 953
a 38 73 484
a 38 74 241
a 38 79 685
a 38 81 939
a 38 83 109
a 38 84 364
a 38 87 669
a 38 88 325
a 38 89 719
a 38 90 94
a 38 91 752
a 38 94 354
a 38 96 807
a 38 97 631
a 38 99 454
a 38 100 85
a 39 40 213
a 39 42 513
a 39 44 828
a 39 47 671
a 39 49 466
a 39 51 384
a 39 52 643
a 39 53 504
a 39 58 559
a 39 59 887
a 39 60 860
a 39 62 118
a 39 63 350
a 39 64 833
a 39 69 422
a 39 71 186
a 39 72 73
a 39 73 107
a 39 74 124
a 39 76 181
a 39 77 822
a 39 79 145
a 39 84 506
a 39 85 540
a 39 87 590
a 39 88 609
a 39 89 245
a 39 94 396
a 39 95 239
a 39 97 698
a 40 43 480
a 40 44 451
a 40 45 562
a 40 46 660
a 40 47 473
a 40 48 27
a 40 49 43
a 40 51 468
a 40 52 531
a 40 53 601
a 40 54 354
a 40 55 390
a 40 57 70
a 40 59 56
a 40 60 222
a 40 61 492
a 40 62 241
a 40 63 295
a 40 64 950
a 40 67 716
a 40 68 827
a 40 70 771
a 40 71 860
a 40 73 684
a 40 76 662
a 40 77 449
a 40 78 292
a 40 80 906
a 40 81 844
a 40 82 883
a 40 85 955
a 40 86 676
a 40 90 333
a 40 91 517
a 40 92 335
a 40 97 806
a 40 98 895
a 40 99 377
a 40 100 625
a 41 48 425
a 41 50 330
a 41 51 978
a 41 52 814
a 41 55 399
a 41 56 385
a 41 57 388
a 41 58 242
a 41 59 977
a 41 61 34
a 41 62 543
a 41 63 693
a 41 65 212
a 41 69 665
a 41 70 552
a 41 71 896
a 41 73 678
a 41 76 353
a 41 81 539
a 41 82 583
a 41 83 548
a 41 86 421
a 41 87 890
a 41 88 223
a 41 91 106
a 41 92 758
a 41 93 909
a 41 94 911
a 41 95 652
a 41 96 286
a 41 97 887
a 41 98 429
a 41 99 967
a 42 46 864
a 42 48 594
a 42 49 717
a 42 50 601
a 42 51 981
a 42 52 311
a 42 53 577
a 42 54 14
a 42 55 853
a 42 56 269
a 42 57 226
a 42 58 518
a 42 65 173
a 42 67 473
a 42 69 195
a 42 71 877
a 42 74 363
a 42 78 130
a 42 79 424
a 42 80 784
a 42 82 371
a 42 83 647
a 42 84 889
a 42 88 128
a 42 89 907
a 42 91 151
a 42 92 131
a 42 94 544
a 42 95 37
a 42 96 559
a 42 97 510
a 42 99 252
a 43 48 505
a 43 49 227
a 43 50 852
a 43 54 485
a 43 56 537
a 43 58 781
a 43 59 851
a 43 63 741
a 43 65 49
a 43 66 428
a 43 67 258
a 43 68 573
a 43 72 900
a 43 74 453
a 43 75 449
a 43 77 262
a 43 81 934
a 43 84 225
a 43 85 397
a 43 87 304
a 43 93 871
a 43 97 637
a 43 98 783
a 43 99 777
a 43 100 787
a 44 49 913
a 44 55 321
a 44 56 175
a 44 58 824
a 44 62 182
a 44 68 427
a 44 71 328
a 44 72 760
a 44 74 630
a 44 75 164
a 44 77 648
a 44 78 410
a 44 81 14
a 44 84 389
a 44 85 811
a 44 86 793
a 44 88 646
a 44 89 383
a 44 90 44
a 44 91 450
a 44 92 184
a 44 94 658
a 44 95 383
a 44 98 408
a 44 99 54
a 45 46 38
a 45 47 630
a 45 49 691
a 45 51 820
a 45 52 758
a 45 53 829
a 45 55 85
a 45 56 430
a 45 59 4
a 45 60 908
a 45 61 612
a 45 62 430
a 45 66 587
a 45 68 723
a 45 69 411
a 45 70 102
a 45 73 371
a 45 74 821
a 45 75 116
a 45 82 759
a 45 83 983
a 45 84 260
a 45 85 756
a 45 86 365
a 45 88 304
a 45 89 206
a 45 91 900
a 45 93 961
a 45 94 940
a 45 96 307
a 45 100 366
a 46 49 978
a 46 50 288
a 46 51 56
a 46 52 797
a 46 53 46
a 46 54 885
a 46 55 881
a 46 56 827
a 46 57 240
a 46 60 140
a 46 61 790
a 46 65 21
a 46 66 78
a 46 69 513
a 46 70 431
a 46 71 180
a 46 72 883
a 46 74 603
a 46 77 647
a 46 81 993
a 46 82 585
a 46 83 906
a 46 84 748
a 46 86 302
a 46 89 561
a 46 90 305
a 46 91 201
a 46 93 521
a 46 94 245
a 46 99 860
a 46 100 887
a 47 48 574
a 47 51 499
a 47 54 294
a 47 55 370
a 47 57 896
a 47 58 530
a 47 61 603
a 47 62 723
a 47 63 769
a 47 65 94
a 47 66 512
a 47 67 141
a 47 70 172
a 47 71 376
a 47 72 572
